id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
408,Lightning Lord,44.0,10.0,23.0,42.0,66.0,42.0,Mekt Ranzz,No alter egos found.,['-'],-,Supergirl and the Legion of Super-Heroes #25 (Feb. 2007),DC Comics,bad,Male,,"[""6'3"", '191 cm']","['210 lb', '95 kg']",Blue,Red,-,-,"The Wanderers, former ally of the Legion of Super-Heroes.",-,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg
409,Living Brain,75.0,53.0,35.0,56.0,31.0,28.0,,No alter egos found.,['-'],-,Amazing Spider-Man #8 (1964),Marvel Comics,bad,-,,"[""6'6"", '198 cm']","['800 lb', '360 kg']",Yellow,-,Robot,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg
410,Living Tribunal,100.0,100.0,100.0,100.0,100.0,30.0,,No alter egos found.,"['Living Trinity', 'Magistrate', 'High Judge of The Multiverse', 'Sir']",-,Strange Tales #157,Marvel Comics,neutral,-,Cosmic Entity,"['-', '0 cm']","['- lb', '0 kg']",Blue,No Hair,-,-,-,One-Above-All (creator),https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg
411,Liz Sherman,,,,,,,Elizabeth Anne Sherman,No alter egos found.,['-'],-,-,Dark Horse Comics,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,B.P.R.D.,-,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg
412,Lizard,50.0,51.0,27.0,70.0,63.0,56.0,Curtis Connors,No alter egos found.,['-'],"Coral Gables, Florida",Amazing Spider-Man #6,Marvel Comics,bad,Male,Human,"[""6'8"", '203 cm']","['510 lb', '230 kg']",Red,No Hair,Research biologist,Florida,-,"Martha (wife, deceased), Billy (son), unnamed sister",https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
413,Lobo,94.0,100.0,54.0,100.0,100.0,85.0,Lobo,No alter egos found.,"['The Main Man', ""The 'Bo"", 'Master Frag', 'Mister Machete', 'Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It']",-,Omega Men # 3,DC Comics,neutral,Male,Czarnian,"[""7'6"", '229 cm']","['640 lb', '288 kg']",Red,Black,"Assassin, Bounty Hunter, Priest",Mobile throughout several galaxies,"Formerly LEGION, Young Justice; First Celestial Church of the Triple Fish-God",Slobo (clone),https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
414,Loki,88.0,63.0,46.0,85.0,100.0,60.0,Loki Laufeyson,No alter egos found.,"['God of Mischief', 'Gem-Keeper', 'Walter Lawson', 'Lester', 'Loren Olsen', 'Tyfon', 'Father Williams', 'Willie', 'Tso Zhung; has also impersonated hundreds of others.']","Jotunheim, Asgard",Journey into Mystery Vol. 1 #85,Marvel Comics,bad,Male,Asgardian,"[""6'4"", '193 cm']","['525 lb', '236 kg']",Green,Black,God of evil; former god of mischief and madness,Asgard,"Asgardians, Karnilla, Enchantress, Skurge the Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""Acts of Vengeance"" prime movers (Dr. Doom, Magneto, Red Skull, Mandari","Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
415,Longshot,50.0,10.0,27.0,10.0,71.0,70.0,,No alter egos found.,"['The Lost Messiah', 'The Lucky One']",-,"Longshot #1 (September, 1985)",Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['80 lb', '36 kg']",Blue,Blond,"freedom fighter, stuntman rebel, adventurer","X-Factor Investigations Headquarters, New York City, New York; formerly Detroit, Michigan; mobile; Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I",X-Factor Investigations; rebel forces on his homeworld; formerly Exiles; X-Men,"Arize (creator), Alison Blaire (Dazzler) (wife), Gaveedra Seven (Shatterstar) (alleged son)",https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg
416,Luke Cage,50.0,63.0,29.0,95.0,44.0,70.0,Luke Cage,Power Man,"['Carl Lucas', 'Power Man', 'Mark Lucas', 'Hero for Hire', 'Ace of Spades']","Harlem, New York City",Hero for Hire #1 (1972),Power Man,good,Male,Human,"[""6'6"", '198 cm']","['425 lb', '191 kg']",Brown,Black,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",-,"Underground Avengers (formerly Daredevil's Unnamed Super-Hero Team), Secret Defenders, Heroes for Hire, Nightwing Restorations, Fantastic Four, Defenders, Bloods","Jessica Jones (wife), James Leonard Lucas (father), Esther (mother, deceased), James Jr. (Coldfire, brother), unnamed daughter",https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
417,Luke Campbell,,,,,,,Luke Campbell,No alter egos found.,['-'],-,-,NBC - Heroes,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,"Newark, NJ",-,"Unnamed father (estranged), Mary Campbell",https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg
418,Luke Skywalker,69.0,38.0,42.0,25.0,100.0,100.0,Luke Skywalker,No alter egos found.,"['General Skywalker', 'Master Luke', 'Jedi']",Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,good,Male,Human,"[""5'6"", '168 cm']","['170 lb', '77 kg']",Blue,Blond,-,-,"Alliance to Restore the Republic, Jedi Order, Alliance of Free Planets, Bright Tree Village, New Republic, New Jedi Order","Darth Vader (father), Princes Leia (Sister), Yoda (Master), Obi-Wan Kenobi (Master)",https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
419,Luna,38.0,6.0,83.0,14.0,53.0,14.0,Luna Maximoff,No alter egos found.,['-'],"Attilan, Blue Area of the Moon",-,Marvel Comics,good,Female,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,"Quicksilver (Pietro Maximoff, father), Magneto (grandfather), Crystal (mother), Scarlet Witch, (aunt), Polaris (aunt)",https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
420,Lyja,,,,,,,Lyja,No alter egos found.,"['Alicia Masters', 'Lyja The Lazerfist', 'Laura Green']",-,"Fantastic Four #265 (as Alicia), Fantastic Four #357 (as Lyja)",Marvel Comics,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",Green,Green,Former Skrull Liason Officer,-,"Former lover of Paibok, Former ally of the Fantastic Four, Former wife of the Human Torch","Johnny Storm - Human Torch (ex-husband), Susan Storm - Invisible Woman (ex-sister-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg
421,Mach-IV,75.0,36.0,60.0,84.0,60.0,56.0,Abner Jenkins,No alter egos found.,"['Beetle', 'MACH-I', 'MACH-II', 'MACH-III', 'Matthew']","Baltimore, Maryland",(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005),Marvel Comics,bad,Male,,"[""5'11"", '180 cm']","['175 lb', '79 kg']",Brown,Brown,"Adventurer; former master mechanic, professional criminal, mercenary",-,"formerly Thunderbolts, Masters of Evil, Sinister Syndicate, Justin Hammer's Hit Squad, Maggia, Sinister Seven, Commission on Superhuman Activities, Defenders impersonators, Burton Canyon Police Department",-,https://www.superherodb.com/pictures2/portraits/10/100/370.jpg
422,Machine Man,63.0,32.0,35.0,84.0,51.0,64.0,"X-51, Aaron Stack",No alter egos found.,"['Sir McHinery', 'Mister Machine.Machine Man']","Central City, California",First appearance unknown,Marvel Comics,good,-,,"[""6'"", '183 cm']","['850 lb', '383 kg']",Red,Black,Insurance Investigator,"Garvin's Garage, Queens, New York",Avengers,"Dr. Able Stack, 'father'",https://www.superherodb.com/pictures2/portraits/10/100/90.jpg
423,Magneto,88.0,80.0,27.0,84.0,91.0,80.0,Erik Magnus Lensherr,No alter egos found.,"['The Creator', 'Erik Magnus Lehnsherr', 'Michael Xavier', 'White Pilgrim', 'Erik the RedThe Master of Magnetism']","Unrevealed, probably somewhere in Northern Europe",X-MEN Vol. 1 #1,Marvel Comics,bad,Male,Mutant,"[""6'2"", '188 cm']","['190 lb', '86 kg']",Grey,White,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, formerly Brotherhood of Evil Mutants I and II, X-Men, teacher of the New Mutants, Lords Cardinal of the Hellfire Club, leader of the Acolytes","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)",https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
424,Magog,50.0,48.0,23.0,64.0,66.0,72.0,David Reid,No alter egos found.,['-'],-,-,DC Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,-,-,"formerly Justice Society of America, formerally United States Marine Corps","Franklin Delano Roosevelt (great-grandfather, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
425,Magus,88.0,100.0,70.0,99.0,100.0,74.0,,No alter egos found.,"[""Warlock's Father""]",Kvch (Technarchy�s home planet),New Mutants #18 (1984),Marvel Comics,bad,Male,,"[""6'0"", '183 cm']","['- lb', '0 kg']",Black,-,Ruler of the Technarchy,-,-,"Warlock (son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
426,Man of Miracles,100.0,100.0,100.0,100.0,100.0,100.0,,No alter egos found.,['Mother Of Existence'],-,Spawn #75,Image Comics,-,-,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",Blue,Silver,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
427,Man-Bat,38.0,18.0,50.0,70.0,33.0,30.0,Robert Kirkland Langstrom,No alter egos found.,['Kirk Langstrom'],"Chicago, Illinois","Detective Comics #400 (June, 1970)",DC Comics,neutral,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Brown,Brown,Zoologist,Gotham City,"Formerly Spirit Squad, The Network","Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
428,Man-Thing,50.0,32.0,8.0,100.0,100.0,40.0,Dr. Theodore Sallis,No alter egos found.,['the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap'],-,"Savage Tales #1 (May, 1971)",Marvel Comics,good,Male,,"[""7'0"", '213 cm']","['500 lb', '225 kg']",Red,No Hair,-,"Man-Thing's Swamp, Citrusville, Florida","Thunderbolts, Legion of Monsters, Daydreamers",Ellen Brandt (ex-wife) Job Burke (son),https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
429,Man-Wolf,63.0,44.0,35.0,42.0,45.0,70.0,John Jameson,No alter egos found.,"['Stargod', 'Vanwolf', 'Skywolf']","New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124",Marvel Comics,good,Male,,"[""6'2'"", '188 cm']","['200 lb', '90 kg']",Brown,Auburn,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",Queens,"Ravencroft Insitute Staff, Avengers Support Crew, NASA, USAF","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)",https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
430,Mandarin,100.0,28.0,23.0,28.0,100.0,95.0,Khan,No alter egos found.,"['Tem Borjigin', 'Gene Kahn', 'Master Khan', 'Zhang Tong', 'Mandy']",China,"Tales of Suspense #50 (February, 1964)",Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['215 lb', '97 kg']",Blue,White,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,"current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
431,Mantis,63.0,8.0,33.0,80.0,100.0,80.0,,No alter egos found.,"['Celestial Madonna', 'Willow', 'Lorelei', 'Mandy Celestine', 'This One (in referring to herself)']",Vietnam,Avengers #112,Marvel Comics,good,Female,Human-Kree,"[""5'6"", '168 cm']","['115 lb', '52 kg']",Green,Black,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",Mobile,-,"Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)",https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
432,Martian Manhunter,100.0,95.0,92.0,100.0,100.0,85.0,J'onn J'onzz,No alter egos found.,"[""ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith"", 'Bloodwynd', 'many others']",-,Detective Comics #225 (1955),DC Comics,good,Male,Martian,"[""6'7"", '201 cm']","['300 lb', '135 kg']",Red,No Hair,-,-,"Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
433,Marvel Girl,63.0,85.0,47.0,42.0,100.0,80.0,Rachel Anne Summers,No alter egos found.,"['Rachel Grey', 'formerly Phoenix', 'Mother Askani', 'Bright Lady', ""Aly'zrn Summerset""]",-,UNCANNY X-MEN #141,Marvel Comics,good,Female,,"[""5'7'"", '170 cm']","['125 lb', '56 kg']",Green,Red,Adventurer,"Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, formerly X-Men, former servant of Elias Bogan, formerly Clan Askani (leader), Excalibur, former servant of Ahab","Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)",https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
434,Master Brood,,,,,,,Currently Colin Wood,No alter egos found.,['Brood'],Perhaps England,Team Epic Episode 101,Team Epic TV,good,Male,,"[""6'0"", '183 cm']","['180 lb', '81 kg']",Blue,Black,-,"Toronto, Canada",Team Epic,Deceased,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
435,Master Chief,75.0,73.0,35.0,80.0,69.0,100.0,John-117,No alter egos found.,"['Blue 1', 'Sierra 117', 'Spartan 117', 'Demon']","Elysium City, Eridanus II",-,Microsoft,good,Male,Human / Altered,"[""7'"", '213 cm']","['- lb', '0 kg']",Brown,Brown,Master Chief Petty Officer of the Navy,-,"United Nations Space Command, Navy",-,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
436,Match,75.0,95.0,83.0,85.0,100.0,70.0,Kent Connor,No alter egos found.,"['Superboy', 'Superman']",-,"Superboy Vol 4 #35 (January, 1997)",DC Comics,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",Black,Black,-,-,"Titans East, the Agenda, Project Cadmus","Superman (genetic template via Superboy), Lex Luthor (genetic Template via Superboy), Superboy (genetic template)",https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
437,Matt Parkman,63.0,10.0,12.0,14.0,59.0,56.0,Matthew Parkman,No alter egos found.,['-'],-,Heroes S01E02 - Don't Look Back,NBC - Heroes,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,NYPD detective,"New York, NY; formerly Los Angeles, CA",-,"Maury Parkman (father), Janice Parkman (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
438,Maverick,63.0,10.0,12.0,42.0,60.0,85.0,Christopher Bradley,No alter egos found.,"['Chris', 'Bolt']",-,X-Men Unlimited #8 (1995),Marvel Comics,good,Male,,"[""6'4"", '193 cm']","['244 lb', '110 kg']",Blue,Black,"Mercenary; former adventurer, student",-,"(As Maverick) Formerly Gene Nation, Cable�s Underground; (as Bolt) formerly New Warriors","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)",https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
439,Maxima,75.0,90.0,35.0,56.0,81.0,75.0,,No alter egos found.,"['Queen Maxima', 'Empress of the Almeracian Empire']",Almerac,-,DC Comics,bad,Female,,"[""5'11"", '180 cm']","['160 lb', '72 kg']",Brown,Red,"Adventurer, Queen of the Almerac Empire",Imperial Royal Palace,"Justice League Task Force, Extreme Justice",-,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
440,Maya Herrera,50.0,10.0,12.0,14.0,60.0,14.0,Maya Herrera,No alter egos found.,['-'],Dominican Republic,-,NBC - Heroes,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,Alejandro (twin brother),https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
441,Medusa,75.0,34.0,35.0,70.0,37.0,56.0,Medusalith Amaquelin Boltagon,No alter egos found.,"['Madam Medusa', 'Queen Medusa']","Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),Marvel Comics,good,Female,Inhuman,"[""5'11"", '180 cm']","['130 lb', '59 kg']",Green,Red,"Queen, Royal interpreter",Attilan,"Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)",https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
442,Meltdown,38.0,10.0,12.0,42.0,62.0,64.0,Tabitha Smith,Boom-Boom,"['Boom-Boom', 'Boomer', 'Meltdown', 'Mutate #35', 'Time Bomb', 'Nancy Forrester']","Roanoke, Virginia",-,Boom-Boom,good,Female,,"[""5'5"", '165 cm']","['120 lb', '54 kg']",Blue,Blond,"Adventurer, former student, thief",-,"Formerly Nextwave, X-Force, Genoshan Mutates, New Mutants, X-Terminators, X-Factor (trainee), Fallen Angels","Martin Louis Smith (father), Mandy Smith (step-mother), Wanda Jo Bialowsky-Smith (step-mother)",https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
443,Mephisto,88.0,85.0,35.0,95.0,100.0,42.0,,No alter egos found.,"['Satan; Mephistopheles', 'Lord of Evil', 'Prince of Devils', 'Prince of Lies', 'Lord of the Lower Depths', 'Satan', 'Beelzebub', 'the Devil', 'Maya', 'Lucifer', 'Nick Scratch', 'the Friend', 'Legion', 'numerous others; impersonated Don Blake', 'many others']",Hell,-,Marvel Comics,bad,Male,,"[""6'6"", '198 cm']","['310 lb', '140 kg']",White,Black,Lord of a realm of Hell,-,"Hell-lords, Lords of the Splinter Realms; formerly manipulator of the Six-Fingered Hand","Blackheart (son), Mephista (daughter); presumptive relationship to other Hell-lords; quasi-paternal relationship to Mikal Drakonmegas (Hellfire) and Daimon (Hellstorm) and Satana Hellstrom; formerly engaged to unidentified demoness",https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
444,Mera,56.0,62.0,79.0,60.0,92.0,80.0,Mera,No alter egos found.,"['Queen of Atlantis', 'Aquawoman', 'Aquagirl', 'Water-Woman']",-,"Aquaman #11 (October, 1963)",DC Comics,good,Female,Atlantean,"[""5'9"", '175 cm']","['160 lb', '72 kg']",Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua,Atlantis,Aquaman Family; formerly Red Lantern Corps,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)",https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
445,Metallo,75.0,53.0,23.0,95.0,86.0,64.0,John Corben,No alter egos found.,['-'],-,"Superman Vol 2 #1 (January, 1987)",DC Comics,bad,Male,Android,"[""6'5"", '196 cm']","['200 lb', '90 kg']",Green,Brown,Professional criminal,"Mobile, though he generally operates out of Metropolis",Superman Revenge Squad,-,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
446,Metamorpho,,82.0,,,,,Rex Mason,No alter egos found.,['The Element Man'],-,Brave and the Bold #57,DC Comics,good,Male,,"[""6'1"", '185 cm']","['200 lb', '90 kg']",Black,No Hair,"Adventurer, former Soldier of Fortune",-,"Outsiders, formerly Doom Patrol, Justice League Europe, Seven Soldiers of Victory","Unnamed parents (deceased), Sapphire Stagg Mason (wife), Joseph (son), Simon Stagg (father-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
447,Meteorite,,,,,,,,No alter egos found.,['-'],-,-,Marvel Comics,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
448,Metron,88.0,10.0,47.0,56.0,100.0,28.0,Metron,No alter egos found.,['-'],-,"New Gods vol. 1 #1 (February-March, 1971)",DC Comics,good,Male,,"[""6'1"", '185 cm']","['190 lb', '86 kg']",Blue,Black,"Scientist, seeker of knowledge","Supertown, New Genesis",New Gods,-,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
449,Micah Sanders,63.0,8.0,12.0,14.0,57.0,14.0,Micah Sanders,No alter egos found.,['MicahSanders500'],-,-,NBC - Heroes,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",Brown,Black,Elementary school student,"New Orleans, LA",-,"Niki Sanders (Mother), DL Hawkins (Father), Paulette Hawkins (paternal grandmother), Hal Sanders (maternal grandfather), Nana Dawson (Guardian)
Nana Dawson (Great-aunt), Monica Dawson (Cousin), Damon Dawson (Cousin)",https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
450,Michelangelo,63.0,14.0,50.0,65.0,59.0,75.0,,No alter egos found.,"['Mike', 'Mikey', 'Mikester', 'Michaelangelo']",-,-,IDW Publishing,good,Male,Mutant,"['-', '0 cm']","['- lb', '0 kg']",Blue,-,-,-,-,"Leonardo (brother), Donatello (brother), Raphael (brother)",https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
451,Micro Lad,38.0,28.0,27.0,28.0,44.0,32.0,Gim Allon,No alter egos found.,"['Colossal Boy (mostly known as Colossal Boy', 'although he dislikes that name himself)']",-,Teen Titans/Legion Special #1 (2004),DC Comics,good,Male,,"[""6'"", '183 cm']","['170 lb', '77 kg']",Grey,Brown,-,"United Planets, 31st century",Legion of Super-Heroes,-,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
452,Mimic,63.0,67.0,47.0,56.0,79.0,42.0,Calvin Montgomery Rankin,No alter egos found.,"['Cal', 'Wolverine', 'Calvin Rankin']","Passiac, New Jersey",Uncanny X-Men #19,Marvel Comics,good,Male,,"[""6'2"", '188 cm']","['225 lb', '101 kg']",Brown,Brown,-,-,"Formerly Brotherhood Of Mutants, Excalibur, X-Men, former agent of Onslaught and Sledge","Ronald Rankin (father, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
453,Minna Murray,,,,,,,Wilhelmina Harker,No alter egos found.,['-'],-,-,Wildstorm,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
454,Misfit,63.0,32.0,23.0,80.0,91.0,42.0,Charlotte Gage-Radcliffe,Batgirl V,['Batgirl'],-,Birds of Prey #96,Batgirl V,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",Blue,Red,-,"Dalten Towers, Metropolis",Birds of Prey,-,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
455,Miss Martian,63.0,85.0,58.0,100.0,100.0,45.0,M'gann M'orzz,No alter egos found.,"[""Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias)"", 'Star-Spangled Kid']",Mars,"Teen Titans Vol 3 #37 (August, 2006)",DC Comics,good,Female,,"[""5'10"", '178 cm']","['135 lb', '61 kg']",Red,Red,Adventurer,"Arizona; San Francisco, California; formerly the Tanami Desert, Australia",Teen Titans,-,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
456,Mister Fantastic,100.0,10.0,18.0,70.0,33.0,64.0,Reed Richards,No alter egos found.,['Mr Fantastic'],"Central City, California",FANTASTIC FOUR #1,Marvel Comics,good,Male,Human / Radiation,"[""6'1"", '185 cm']","['180 lb', '81 kg']",Brown,Brown,"Scientist, adventurer",New York City,Fantastic Four,"Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
457,Mister Freeze,75.0,32.0,12.0,70.0,37.0,28.0,Victor Fries,No alter egos found.,"['Mister Zero', 'Doctor Zero', 'Doctor Schimmell']",-,Batman #121 (Feb. 1959),DC Comics,bad,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",-,-,-,-,"Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)",https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
458,Mister Knife,75.0,10.0,17.0,30.0,13.0,65.0,J'son,No alter egos found.,"['Jason of Spartax', 'Jason of Sparta', 'Star-Lord', 'Mr Knife']","Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)",Marvel Comics,bad,Male,Spartoi,"['-', '0 cm']","['- lb', '0 kg']",Blue,Brown,"Crimelord; former emperor, prince","Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy","Slaughter Lords (leader); formerly Galactic Council, ruler of the Spartoi Empire","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
459,Mister Mxyzptlk,100.0,85.0,100.0,100.0,100.0,50.0,Mr. Mxyzptlk,No alter egos found.,['-'],-,Superman #30,DC Comics,bad,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
